SIMT;X;Y;CODINFRA;Nombre Paradero;Modo
L1_AL;352211.9645;6301539.482;ALCANTARA;Alcantara;METRO
L3_AV;347339.3743;6296706.933;MATTA;Avenida Matta;METRO
L1_BA;348131.5461;6299073.006;BAQUEDANO L1;Baquedano L1;METRO
L1_BA;348131.5461;6299073.006;BAQUEDANO L1;L1-L5;METRO
L5_BA;348131.5461;6299073.006;BAQUEDANO L5;Baquedano L5;METRO
L5_BA;348131.5461;6299073.006;BAQUEDANO L5;L5-L1;METRO
L5_BR;338373.089;6297175.941;BARRANCAS;Barrancas;METRO
L5_BE;347128.2197;6299099.555;BELLAS ARTES;Bellas Artes;METRO
L5_LF;351442.0083;6289937.74;BELLAVISTA DE LA FLORIDA;Bellavista de la Florida;METRO
L6_BB;347437.9917;6294691.075;BIO BIO;Bio Bio;METRO
L5_BL;341298.9739;6298462.749;BLANQUEADO;Blanqueado;METRO
L2_CA;346328.9844;6299530.535;CAL Y CANTO L2;Cal y Canto L2;METRO
L2_CA;346328.9844;6299530.535;CAL Y CANTO L2;L2-L3;METRO
L3_CA;346328.9844;6299530.535;CAL Y CANTO L3;Cal y Canto L3;METRO
L3_CA;346328.9844;6299530.535;CAL Y CANTO L3;L3-L2;METRO
L5_AG;349732.6231;6293043.091;CAMINO AGRICOLA;Camino Agricola;METRO
L3_CC;343151.4916;6306041.916;CARDENAL CARO;Cardenal Caro;METRO
L5_CV;349525.2799;6293699.126;CARLOS VALDOVINOS;Carlos Valdovinos;METRO
L2_CE;347178.1558;6301600.002;CEMENTERIOS;Cementerios;METRO
L6_CE;342473.1156;6293838.312;CERRILLOS;Cerrillos;METRO
L2_CB;347061.7231;6300657.616;CERRO BLANCO;Cerro Blanco;METRO
L3_CE;351531.6842;6297132.436;CHILE ESPANA;Chile-España;METRO
L2_CN;346111.4812;6290925.506;CIUDAD DEL NINO;Ciudad del Nino;METRO
L3_CO;344737.8357;6303347.192;CONCHALI;Conchali;METRO
L4_CO;352089.1079;6300328.791;CRISTOBAL COLON;Cristobal Colon;METRO
L5_RC;344910.4223;6298788.369;CUMMING;Cumming;METRO
L5_DS;337157.3077;6293015.739;DEL SOL;Del Sol;METRO
L2_DE;346304.2471;6291772.206;DEPARTAMENTAL;Departamental;METRO
L2_DO;347230.2129;6303516.626;DORSAL;Dorsal;METRO
L1_EC;342036.7091;6296861.883;ECUADOR;Ecuador;METRO
L2_EI;347203.251;6302525.747;EINSTEIN;Einstein;METRO
L1_GO;351634.3598;6301388.007;EL GOLF;El Golf;METRO
L2_LL;346751.8691;6293981.328;EL LLANO;El Llano;METRO
L2_EP;345716.6975;6289103.607;EL PARRON;El Parron;METRO
L4_EA;353015.863;6284462.519;ELISA CORREA;Elisa Correa;METRO
L1_EM;352786.1256;6301722.7;ESCUELA MILITAR;Escuela Militar;METRO
MT_AL;343959.7522;6297431.759;Estacion Alameda;Alameda;METROTREN
L1_EL;343933.0505;6297455.84;ESTACION CENTRAL;Estacion Central;METRO
MT_CP;342093.4559;6277905.46;Estacion Cinco Pinos;Cinco Pinos;METROTREN
MT_FR;342391.1622;6282324.633;Estacion Freire;Freire;METROTREN
MT_LB;342357.5626;6283795.87;Estacion Lo Blanco;Lo Blanco;METROTREN
MT_LE;343422.3776;6290478.004;Estacion Lo Espejo;Lo Espejo;METROTREN
MT_LV;343819.855;6294470.584;Estacion Lo Valledor;Lo Valledor MT;METROTREN
MT_MA;342550.4979;6280182.172;Estacion Maestranza;Maestranza;METROTREN
MT_NO;341799.1692;6277070.038;Estacion Nos;Nos;METROTREN
MT_PAC;343755.7372;6292897.413;Estacion Pedro Aguirre Cerda;Pedro Aguirre Cerda;METROTREN
MT_SB;342448.3458;6281532.274;Estacion San Bernardo;San Bernardo;METROTREN
L6_EN;350743.2011;6296308.849;ESTADIO NACIONAL;Estadio Nacional;METRO
L3_FC;355206.2744;6297510.091;FERNANDO CASTILLO VELASCO;Fernando Castillo Velasco;METRO
L4_BI;352686.735;6299754.528;FRANCISCO BILBAO;Francisco Bilbao;METRO
;346752.2423;6294677.546;FRANKLIN;;METRO
L2_FR;346752.2423;6294677.546;FRANKLIN L2;Franklin L2;METRO
L2_FR;346752.2423;6294677.546;FRANKLIN L2;L2-L6;METRO
L6_FR;346752.2423;6294677.546;FRANKLIN L6;Franklin L6;METRO
