Demanda;periodomediodeviaje;paraderosubida;paraderobajada;netapa;serv_1era_etapa;t_1era_etapa;tespera_1era_etapa;ttrasbordo_1era_etapa;tcaminata_1era_etapa;serv_2da_etapa;t_2da_etapa;tespera_2da_etapa;ttrasbordo_2da_etapa;tcaminata_2da_etapa;serv_3era_etapa;t_3era_etapa;tespera_3era_etapa;ttrasbordo_3era_etapa;tcaminata_3era_etapa;serv_4ta_etapa;t_4ta_etapa
3.7577;04 - PUNTA MANANA;ALCANTARA;BLANQUEADO;1;L1;27.8167;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2.5011;04 - PUNTA MANANA;ALCANTARA;CEMENTERIOS;1;L1;31.3333;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
6.2659;04 - PUNTA MANANA;ALCANTARA;CERRO BLANCO;1;L1;29.8333;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3.7841;04 - PUNTA MANANA;ALCANTARA;CONCHALI;1;L1;28.9333;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1.2805;04 - PUNTA MANANA;ALCANTARA;E-5-30-OP-20;2;L1;8.8333;0.5467;1.8;1.2533;B80 00R;22.9333;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;Estacion Lo Blanco;2;L1;21.9667;0.3882;2.55;2.1618;-;13.3167;-;-;-;-;-;-;-;-;-;-
1.2805;04 - PUNTA MANANA;ALCANTARA;Estacion San Bernardo;2;L1;21.9667;-0.7951;1.3667;2.1618;-;16.6167;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;Estacion San Bernardo;2;L1;21.9667;-1.6784;0.4833;2.1618;-;16.6167;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;Estacion San Bernardo;2;L1;21.9667;-1.8784;0.2833;2.1618;-;16.6167;-;-;-;-;-;-;-;-;-;-
5.0188999999999995;04 - PUNTA MANANA;ALCANTARA;FRANCISCO BILBAO;1;L1;12.3833;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12.7724;04 - PUNTA MANANA;ALCANTARA;GRECIA;1;L1;20.8333;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10.1267;04 - PUNTA MANANA;ALCANTARA;GRUTA DE LOURDES;1;L1;25.8833;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-10-37-35-SN;3;L1;32.6333;6.5164;8.3833;1.867;T530 08R;16.75;5.1354;5.4167;0.2813;T504 06R;3.05;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;L-10-48-40-OP;2;L1;13.5167;7.8825;9.2167;1.3342;T543 07R;44.15;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-10-74-5-NS;2;L1;30.3167;5.2542;6.9833;1.7291;T532 00I;15.75;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;L-11-17-5-SN;2;L1;32.6333;-1.5706;-0.1333;1.4373;T524 00I;19.6167;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;L-11-23-10-OP;2;L1;30.5;4.3117;5.6167;1.3049;T533 C0 00I;6.0667;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;L-13-65-10-OP;2;L1;47.6667;1.1857;2.35;1.1643;T405 00R;16.1;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;L-13-71-40-NS;2;L1;28.3333;-0.9021;-0.0333;0.8687;T423 00R;24.1833;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-13-71-50-NS;2;L1;28.3333;-3.6779;-2.4333;1.2445;T423 00R;29.8;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-13-72-25-OP;2;L1;21.9667;7.533;8.2667;0.7337;T380 00R;27.9667;-;-;-;-;-;-;-;-;-;-
1.2805;04 - PUNTA MANANA;ALCANTARA;L-13-75-15-NS;2;L1;28.3333;2.6278;2.85;0.2222;T423 00R;11.8;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-13-76-100-OP;2;L1;47.6667;28.8692;30.1167;1.2475;T368 00R;11.4333;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-15-9-70-SN;2;L1;1.7333;14.972;18.2667;3.2947;B64 00I;23.8667;-;-;-;-;-;-;-;-;-;-
1.2805;04 - PUNTA MANANA;ALCANTARA;L-15-9-80-SN;2;L1;1.7333;8.9265;9.1167;0.1902;B61 00I;11.6;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;L-17-14-20-SN;2;L1;6.75;10.4316;11.3;0.8684;B52 01R;20.1333;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;L-17-34-20-NS;2;L1;9.1833;5.486;6.0833;0.5973;B53 00I;21.4333;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;L-17-41-25-PO;2;L1;1.7333;6.9387;10.2333;3.2947;B64 00I;9.25;-;-;-;-;-;-;-;-;-;-
1.4051;04 - PUNTA MANANA;ALCANTARA;L-22-27-10-PO;2;L1;43.7;6.8467;7.95;1.1033;T359 00R;6;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-2-23-60-SN;2;L1;13.5167;2.2719;3.2333;0.9615;T230 06R;46.5833;-;-;-;-;-;-;-;-;-;-
