COD_SINRUT;ROUTE_NAME;COD_USUARI;COD_USUSEN
B05 01I;B05I;B05;B05I
B15 08I;B15I;B15;B15I
B15 08R;B15R;B15;B15R
F11 07I;F11I;F11;F11I
F11 07R;F11R;F11;F11R
F18 06R;F18R;F18;F18R
F18 09I;F18I;F18;F18I
F19 00R;F19R;F19;F19R
F19 06R;F19R;F19;F19R
F23 00R;F23R;F23;F23R
F23 05R;F23R;F23;F23R
F24 08I;F24I;F24;F24I
F25 08R;F25R;F25;F25R
F25 09R;F25R;F25;F25R
F27 06R;F27R;F27;F27R
L1;L1;L1;L1
L2;L2;L2;L2
L2-L6;L2-L6;L2-L6;L2-L6
L3;L3;L3;L3
L4;L4;L4;L4
L4A;L4A;L4A;L4A
L4-L4A;L4-L4A;L4-L4A;L4-L4A
L4-L5;L4-L5;L4-L5;L4-L5
L5;L5;L5;L5
L5-L6;L5-L6;L5-L6;L5-L6
L6;L6;L6;L6
METROTREN;METROTREN;METROTREN;METROTREN
T113 C1 00I;113cI;113;113cI
T113 C1 00R;113cR;113;113cR
T201 E3 00I;201eI;201;201eI
T208 00R;208R;208;208R
T212 07I;212I;212;212I
T216 C0 00I;216cI;216;216cI
T216 C0 02R;216cR;216;216cR
T231 08I;G01I;G01;G01I
T231 08R;G01R;G01;G01R
T235 06R;G05R;G05;G05R
T246 07R;G16R;G16;G16R
T271 00I;271I;271;271I
T301 E0 00I;301eI;301;301eI
T301 E0 00R;301eR;301;301eR
T301 E0 01I;301eI;301;301eI
T301 E0 01R;301eR;301;301eR
T325 05R;325R;325;325R
T342 07I;H12I;H12;H12I
T342 07R;H12R;H12;H12R
T355 08R;H05R;H05;H05R
T373 C0 01I;I03cI;I03;I03cI
T373 C0 08I;I03cI;I03;I03cI
T373 C0 09I;I03cI;I03;I03cI
T377 07R;I07R;I07;I07R
T384 C3 00R;I14cR;I14;I14cR
T385 05I;385I;385;385I
T385 05R;385R;385;385R
T385 08R;385R;385;385R
T387 01I;I17;I17;I17
T387 02I;I17;I17;I17
T405 C0 00R;405cR;405;405cR
T406 C0 00R;406cR;406;406cR
T407 03R;407R;407;407R
T412 C2 00I;412cI;412;412cI
T417 E0 01R;417eR;417;417eR
T418 03I;418I;418;418I
T418 03R;418R;418;418R
T419 C0 00R;419cR;419;419cR
T425 02R;425R;425;425R
T426 04I;426I;426;426I
T426 04R;426R;426;426R
T443 02I;D03I;D03;D03I
T443 06I;D03I;D03;D03I
T448 C0 00I;D08cI;D08;D08cI
T448 C0 00R;D08cR;D08;D08cR
T452 00I;D12I;D12;D12I
T452 00R;D12R;D12;D12R
T455 00R;D15R;D15;D15R
T456 03I;D16I;D16;D16I
T456 03R;D16R;D16;D16R
T457 C2 00I;D17cI;D17;D17cI
T457 C2 00R;D17cR;D17;D17cR
T457 C2 04I;D17cI;D17;D17cI
T461 C0 00I;101cI;101;101cI
T461 C0 00R;101cR;101;101cR
T461 C0 06I;101cI;101;101cI
T461 C0 06R;101cR;101;101cR
T461 C0 07I;101cI;101;101cI
T467 C0 01I;107cI;107;107cI
T467 C2 00R;107cR;107;107cR
T477 C0 01I;117cI;117;117cI
T513 C2 00R;513vR;513;513vR
T513 C2 02R;513vR;513;513vR
T514 C0 02R;514cR;514;514cR
T516 02I;516I;516;516I
T516 03I;516I;516;516I
T521 06R;J01R;J01;J01R
T527 C0 00R;J07cR;J07;J07cR
T545 C2 00I;115yI;115;115I
